n,k,p,Disponibilidade
5,1,0.0,0.0
5,1,0.05,0.2262
5,1,0.1,0.4095
5,1,0.15,0.5563
5,1,0.2,0.6723
5,1,0.25,0.7627
5,1,0.3,0.8319
5,1,0.35,0.884
5,1,0.4,0.9222
5,1,0.45,0.9497
5,1,0.5,0.9688
5,1,0.55,0.9815
5,1,0.6,0.9898
5,1,0.65,0.9947
5,1,0.7,0.9976
5,1,0.75,0.999
5,1,0.8,0.9997
5,1,0.85,0.9999
5,1,0.9,1.0
5,1,0.95,1.0
5,1,1.0,1.0
5,3,0.0,0.0
5,3,0.05,0.0012
5,3,0.1,0.0086
5,3,0.15,0.0266
5,3,0.2,0.0579
5,3,0.25,0.1035
5,3,0.3,0.1631
5,3,0.35,0.2352
5,3,0.4,0.3174
5,3,0.45,0.4069
5,3,0.5,0.5
5,3,0.55,0.5931
5,3,0.6,0.6826
5,3,0.65,0.7648
5,3,0.7,0.8369
5,3,0.75,0.8965
5,3,0.8,0.9421
5,3,0.85,0.9734
5,3,0.9,0.9914
5,3,0.95,0.9988
5,3,1.0,1.0
5,5,0.0,0.0
5,5,0.05,0.0
5,5,0.1,0.0
5,5,0.15,0.0001
5,5,0.2,0.0003
5,5,0.25,0.001
5,5,0.3,0.0024
5,5,0.35,0.0053
5,5,0.4,0.0102
5,5,0.45,0.0185
5,5,0.5,0.0312
5,5,0.55,0.0503
5,5,0.6,0.0778
5,5,0.65,0.116
5,5,0.7,0.1681
5,5,0.75,0.2373
5,5,0.8,0.3277
5,5,0.85,0.4437
5,5,0.9,0.5905
5,5,0.95,0.7738
5,5,1.0,1.0
