n,k,p,Analitico,Experimental
5,1,0.0,0.0,0.0
5,1,0.05,0.2262,0.2223
5,1,0.1,0.4095,0.4176
5,1,0.15,0.5563,0.5575
5,1,0.2,0.6723,0.6698
5,1,0.25,0.7627,0.7588
5,1,0.3,0.8319,0.8373
5,1,0.35,0.884,0.8854
5,1,0.4,0.9222,0.9276
5,1,0.45,0.9497,0.9533
5,1,0.5,0.9688,0.9716
5,1,0.55,0.9815,0.9832
5,1,0.6,0.9898,0.9885
5,1,0.65,0.9947,0.9951
5,1,0.7,0.9976,0.9971
5,1,0.75,0.999,0.999
5,1,0.8,0.9997,0.9998
5,1,0.85,0.9999,0.9999
5,1,0.9,1.0,1.0
5,1,0.95,1.0,1.0
5,1,1.0,1.0,1.0
5,3,0.0,0.0,0.0
5,3,0.05,0.0012,0.0013
5,3,0.1,0.0086,0.0093
5,3,0.15,0.0266,0.0295
5,3,0.2,0.0579,0.0587
5,3,0.25,0.1035,0.1013
5,3,0.3,0.1631,0.1583
5,3,0.35,0.2352,0.2347
5,3,0.4,0.3174,0.3238
5,3,0.45,0.4069,0.4048
5,3,0.5,0.5,0.5001
5,3,0.55,0.5931,0.5942
5,3,0.6,0.6826,0.68
5,3,0.65,0.7648,0.755
5,3,0.7,0.8369,0.8349
5,3,0.75,0.8965,0.895
5,3,0.8,0.9421,0.9415
5,3,0.85,0.9734,0.9711
5,3,0.9,0.9914,0.9922
5,3,0.95,0.9988,0.9988
5,3,1.0,1.0,1.0
5,5,0.0,0.0,0.0
5,5,0.05,0.0,0.0
5,5,0.1,0.0,0.0
5,5,0.15,0.0001,0.0
5,5,0.2,0.0003,0.0001
5,5,0.25,0.001,0.0008
5,5,0.3,0.0024,0.0023
5,5,0.35,0.0053,0.0056
5,5,0.4,0.0102,0.0093
5,5,0.45,0.0185,0.0177
5,5,0.5,0.0312,0.0339
5,5,0.55,0.0503,0.0496
5,5,0.6,0.0778,0.0745
5,5,0.65,0.116,0.1178
5,5,0.7,0.1681,0.1694
5,5,0.75,0.2373,0.2341
5,5,0.8,0.3277,0.3322
5,5,0.85,0.4437,0.4427
5,5,0.9,0.5905,0.5898
5,5,0.95,0.7738,0.774
5,5,1.0,1.0,1.0
